genre,name,title,id_album_deezer,deezerFans
Soul,Aaron Neville,My Greatest Gift,201354.0,547.0
Soul,Aaron Neville,Warm Your Heart,160574.0,675.0
Gospel,Aaron Neville,Devotion,320218.0,239.0
Christmas,Aaron Neville,Christmas Prayer,300355.0,120.0
Soul,Aaron Neville,Bring It On Home... The Soul Classics,73544.0,3523.0
Acoustic,Aaron Sprinkle,Live: The Boy Who Stopped The World,320212.0,18.0
Country,Aaron Tippin,You've Got To Stand For Something,108065.0,116.0
Country,Aaron Tippin,Read Between The Lines,108065.0,116.0
Country,Aaron Tippin,Call Of The Wild,7603746.0,94.0
Country,Aaron Tippin,Lookin' Back At Myself,6987503.0,153.0
Country,Aaron Tippin,Tool Box,6987503.0,153.0
Country,Aaron Tippin,Greatest Hits...& Then Some,108065.0,116.0
Country,Aaron Tippin,What This Country Needs,673005.0,2.0
Country,Aaron Tippin,People Like Us,394273.0,2.0
Christmas,Aaron Tippin,A December To Remember,394212.0,1.0
Country,Aaron Tippin,Stars And Stripes,394274.0,3.0
Country,Aaron Tippin,Now & Then,7603746.0,94.0
Country,Aaron Watson,Shutupanddance,11398010.0,23.0
Country,Aaron Watson,San Angelo,1052558.0,124.0
Deathcore,Abacinate,Ruination,588970.0,3.0
Deathcore,Abandon All Hope,Where Life And Death Meet,3023241.0,4.0
Metalcore,Abandon All Ships,Geeving,6745690.0,566.0
Metalcore,Abandon All Ships,Infamous,6745691.0,494.0
Metalcore,Abandon All Ships,Malocchio,7313979.0,477.0
Metalcore,Abandon All Ships,Abandon All Ships,15102279.0,33.0
Pop,ABBA,Ring Ring,103934.0,2482.0
Pop,ABBA,Waterloo,7534614.0,7112.0
Pop,ABBA,ABBA,119899.0,4695.0
Pop,ABBA,Arrival,126502.0,7390.0
Pop,ABBA,The Album,126543.0,5029.0
Disco,ABBA,Voulez-Vous,100323.0,130437.0
Pop,ABBA,Greatest Hits Vol.2,100323.0,130437.0
Pop,ABBA,Gracias Por La Musica,258980.0,4099.0
Pop,ABBA,Super Trouper,245956.0,7052.0
Pop,ABBA,The Visitors,100307.0,17867.0
Pop,ABBA,The Singles - The First Ten Years,100323.0,130437.0
Pop,ABBA,Gold - Greatest Hits,100323.0,130437.0
Pop,ABBA,More ABBA Gold - More ABBA Hits,100307.0,17867.0
Pop,ABBA,Oro: Grandes Éxitos,258980.0,4099.0
Pop,ABBA,Thank You For The Music,102533.0,0.0
Pop,ABBA,The Complete Singles Collection,100323.0,130437.0
Pop,ABBA,The Definitive Collection,100323.0,130437.0
Rock,Abbe May,Kiss My Apocalypse,6502837.0,245.0
Rock,Abbie Gale,Fall,7026043.0,1.0
Jazz,Abbey Lincoln,Over The Years,433726.0,94.0
Synthpop,ABC,The Lexicon Of Love,10613778.0,400.0
Synthpop,ABC,Beauty Stab,123850.0,439.0
Synthpop,ABC,How To Be A... Zillionaire!,160938.0,389.0
Synthpop,ABC,Alphabet City,215867.0,582.0
Rock,ABC,Skyscraping,6463591.0,15.0
Rock,Aberdeen,Homesick And Happy To Be Here,10891798.0,9.0
Pop,Abel Pintos,Para Cantar He Nacido,1368708.0,1898.0
Pop,Abel Pintos,Todos Los Días Un Poco.,1368705.0,1543.0
Pop,Abel Pintos,Cosas Del Corazón,1215711.0,1404.0
Pop,Abel Pintos,Sentidos,1218946.0,2503.0
Pop,Abel Pintos,Reflejo Real,1220643.0,2229.0
Pop,Abel Pintos,La Llave,1222935.0,4851.0
Pop,Abel Pintos,Reevolución,636583.0,7946.0
Pop,Abel Pintos,Sueño Dorado,4564811.0,28206.0
Pop,Abel Pintos,Abel,6983518.0,36374.0
Folk,Abigail Washburn,Song Of The Traveling Daughter,7641370.0,108.0
Folk,Abigail Washburn,The Sparrow Quartet EP,7618776.0,19.0
Folk,Abigail Washburn,Abigail Washburn & The Sparrow Quartet,7618620.0,14.0
Steampunk,Abney Park,Lost Horizons,8409412.0,106.0
Steampunk,Abney Park,Æther Shanties,6550365.0,170.0
