_id,genre,id_artist,name,publicationDate,title,urlAlbum,id_album_deezer,deezerFans,language
ObjectId(5714debf25ac0d8aee3748ba),Folk,ObjectId(56d9693acc2ddd0c0f6badac),Scott Matthews,2006,Passing Stranger,http://lyrics.wikia.com/Scott_Matthews:Passing_Stranger_%282006%29,119433.0,946,eng
ObjectId(5714debf25ac0d8aee3748bb),Folk,ObjectId(56d9693acc2ddd0c0f6badac),Scott Matthews,2009,Elsewhere,http://lyrics.wikia.com/Scott_Matthews:Elsewhere_%282009%29,383954.0,1053,eng
ObjectId(5714debf25ac0d8aee3748c4),Country,ObjectId(56d9693ccc2ddd0c0f6badb0),Scott Miller,2001,Thus Always To Tyrants,http://lyrics.wikia.com/Scott_Miller:Thus_Always_To_Tyrants_%282001%29,312882.0,8,eng
ObjectId(5714debf25ac0d8aee3748c5),Country,ObjectId(56d9693ccc2ddd0c0f6badb0),Scott Miller,2003,Upside Downside,http://lyrics.wikia.com/Scott_Miller:Upside_Downside_%282003%29,312883.0,10,eng
ObjectId(5714debf25ac0d8aee3748c6),Country,ObjectId(56d9693ccc2ddd0c0f6badb0),Scott Miller,2006,Citation,http://lyrics.wikia.com/Scott_Miller:Citation_%282006%29,312888.0,9,eng
ObjectId(5714debf25ac0d8aee3748da),Baroque Pop,ObjectId(56d9695dcc2ddd0c0f6badbc),Scott Walker,1967,Scott,http://lyrics.wikia.com/Scott_Walker:Scott_%281967%29,6639374.0,648,eng
ObjectId(5714debf25ac0d8aee3748db),Baroque Pop,ObjectId(56d9695dcc2ddd0c0f6badbc),Scott Walker,1968,Scott 2,http://lyrics.wikia.com/Scott_Walker:Scott_2_%281968%29,120887.0,292,eng
ObjectId(5714debf25ac0d8aee3748dc),Baroque Pop,ObjectId(56d9695dcc2ddd0c0f6badbc),Scott Walker,1969,Scott 3,http://lyrics.wikia.com/Scott_Walker:Scott_3_%281969%29,120887.0,292,eng
ObjectId(5714debf25ac0d8aee3748dd),Baroque Pop,ObjectId(56d9695dcc2ddd0c0f6badbc),Scott Walker,1969,Scott 4,http://lyrics.wikia.com/Scott_Walker:Scott_4_%281969%29,120887.0,292,eng
ObjectId(5714debf25ac0d8aee3748e3),Art Rock,ObjectId(56d9695dcc2ddd0c0f6badbc),Scott Walker,1984,Climate Of Hunter,http://lyrics.wikia.com/Scott_Walker:Climate_Of_Hunter_%281984%29,312892.0,283,eng
